Yksikkö,Tuottaja,Sijainti,Sektori,Palvelutyyppi,Palvelu eri vuorokauden aikoina: Arki - yö,Palvelu eri vuorokauden aikoina: Viikonloppu - yö,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan: Saada tukea ulkoiluun viikoittain,Mahdollisuus osallistua hyvinvointia ja terveyttä edistävään toimintaan:  Järjestetty mielekästä tekemistä ja harrastusmahdollisuuksia,Sijaisten järjestämisen onnistuminen: Sijaisia vaikea saada,Erillinen kotihoitoa tukeva: Kotiutustiimi,Erillinen kotihoitoa tukeva: Kuntoutustiimi,Erillinen kotihoitoa tukeva: Saattohoitotiimi,"Suunniteltu hoivatyöhön osallistuva henkilöstö, vakanssit","Toteutunut hoivatyöhön osallistuva henkilöstö, vakanssit työtunneista laskettuna"
"Vård i hemmet, Bromarv",Raasepori,Raasepori,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"3,05","3,14"
Hulvelan kotihoito,Raisio,Raisio,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,"10,80","10,31"
Raision ja Ruskon yhteistoiminta-alueen kotihoito,Raisio,Raisio,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"69,90","60,94"
Kotisairaanhoito Rantasalmi,Itä-Savon sosteri,Rantasalmi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"2,20","2,06"
Rantasalmen kotihoito,Juva,Rantasalmi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"21,60","18,93"
Ranuan kotihoito,Ranua,Ranua,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"20,35","18,68"
"Akson Hoivapalvelut, Rauma / Hoivacammar Oy",Hoivacammar Oy,Rauma,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"1,95","1,65"
Diakonialaitoksen Rauman Kotihoitopalvelu,PDL-Palvelut Oy,Rauma,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"12,39","13,67"
Kotihoito,Rauma,Rauma,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"89,00","65,07"
Linnanneito / Hoito- ja kotipalvelu,Hoitokoti Linnanneito Oy,Rauma,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,"4,00","0,95"
Sinisaaren palvelukeskus / kotihoito,Rauma,Rauma,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"10,15","7,68"
Kotihoito,Rautalampi,Rautalampi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"24,10","15,18"
Rautavaaran kotihoito,Rautavaara,Rautavaara,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"12,00","10,88"
Kotihoito,Änkilän hoivapalvelu Oy,Rautjärvi,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"1,00","0,16"
Rautjärven kotihoito,EKSOTE,Rautjärvi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Kyllä,"65,30","19,16"
Reisjärvi tk / kotihoito,Peruspalveluky Selänne,Reisjärvi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Ei,Ei,"11,50","11,61"
"Hoivatiimi Ariel Oy, Riihimäki, Hausjärvi, Loppi",Hoivatiimi Ariel Oy,Riihimäki,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"2,20","2,12"
Kotihoito,Riihimäen seudun terveyskeskuksen kuntayhtymä,Riihimäki,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"14,00","13,74"
Kotihoito,Riihimäki,Riihimäki,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"59,70","50,24"
Ristijärven kotihoito,Kainuun sosiaali- ja terveyskuntayhtymä,Ristijärvi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"14,05","9,79"
Ristijärven Terveyspalvelu RisTeily Oy,Ristijärven Terveyspalvelu RisTeily Oy,Ristijärvi,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"1,10","0,88"
Ellinoora Lähipalvelu,Ellinoora / merjaK ky,Rovaniemi,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Jatkuvasti,Kyllä,Kyllä,Kyllä,"1,40","1,18"
Hannala,Rovalan Setlementti ry,Rovaniemi,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Ei yhtäkään,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Ei,"4,00","2,87"
"Hilipakka Palvelut, Rovaniemi",Hilipakka Palvelut Oy,Rovaniemi,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Ei yhtäkään,Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Kyllä,Kyllä,Ei,"17,60","14,96"
Hoivaroi Oy,Hoivaroi Oy,Rovaniemi,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"10,40","7,25"
Jokkakallion asumispalvelukeskus,Rovalan Setlementti ry,Rovaniemi,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Ei,"2,62","6,01"
Rovaniemi Kotihoito,Coronaria Hoitoketju Oy,Rovaniemi,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Kyllä,"20,90","17,27"
Ruokolahden kotihoito,EKSOTE,Ruokolahti,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Kyllä,"21,60","20,71"
Ruoveden kotihoito,Virrat,Ruovesi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"38,50","31,00"
Saarijärven kotihoito,Perusturvaliikelaitos Saarikka,Saarijärvi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Kyllä,"20,15","15,71"
Kotihoito,Säkylä,Säkylä,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"19,00",
Tainan Lähimmäispalvelu Oy,Tainan Lähimmäispalvelu Oy,Säkylä,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Kyllä,Ei,"0,05","0,04"
Kotihoito,Salla,Salla,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"23,00","25,02"
Eteläinen kotihoito,Salo,Salo,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Ei,Ei,"46,50","44,56"
Itäinen kotihoito,Salo,Salo,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"32,75","28,25"
Läntinen kotihoito,Salo,Salo,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"46,05","43,92"
Salvan kotihoito,Salva ry,Salo,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,"14,20","9,29"
Pohjoinen kotihoito,Salo,Salo,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"46,75","40,28"
Kotihoitopalvelut,Sastamalan seudun yhteistoiminta-alue / Sotesi,Sastamala,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Kyllä,Kyllä,"129,50","0,00"
Sauvon kotihoito,Sauvo,Sauvo,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Ei yhtäkään,Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"8,50","7,32"
Savitaipaleen kotihoito,EKSOTE,Savitaipale,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Joskus,Ei,Kyllä,Kyllä,"15,80","18,31"
Toimintakeskus Suvanto / kotipalvelu,Savitaipaleen Vanhaintuki ry,Savitaipale,Yksityinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,"0,35","0,35"
"Kotihoito, Itäinen alue",Itä-Savon sosteri,Savonlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Ei,"39,10","30,13"
"Kotihoito, Kerimäen alue",Itä-Savon sosteri,Savonlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"28,55","11,06"
"Kotihoito, Keskikaupungin 1. alue",Itä-Savon sosteri,Savonlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Kyllä,Kyllä,Ei,"31,70","31,43"
"Kotihoito, Keskikaupungin 2. alue",Itä-Savon sosteri,Savonlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Kyllä,Kyllä,"14,90","14,30"
"Kotihoito, Läntinen alue",Itä-Savon sosteri,Savonlinna,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Jatkuvasti,Kyllä,Kyllä,Ei,"30,60","22,86"
"Kotihoito, Punkaharjun alue",Itä-Savon sosteri,Savonlinna,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Usein,Ei,Kyllä,Ei,"12,95","11,90"
"Kotihoito, Savonrannan alue",Itä-Savon sosteri,Savonlinna,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,"6,70","5,51"
Kotipalvelu,Savukoski,Savukoski,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"3,75","2,55"
Kivipuron kotihoito,Kivipuro ry,Seinäjoki,Yksityinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"12,50","8,24"
Nurmon alue,Seinäjoki,Seinäjoki,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"12,35","12,08"
Seinäjoen kaupunki eteläinen kotihoito,Seinäjoki,Seinäjoki,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Kyllä,"22,00","20,72"
"Seinäjoen kaupunki, Keskusta-Niemistön kotihoito",Seinäjoki,Seinäjoki,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"29,00","29,35"
"Seinäjoen kaupunki, kotihoito, Peräseinäjoen aluetoimisto",Seinäjoki,Seinäjoki,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"22,20","21,34"
"Seinäjoen kaupunki, Länis-Pohjan kotihoito",Seinäjoki,Seinäjoki,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"21,70","21,88"
"Seinäjoen kaupunki, Ylistaron alue",Seinäjoki,Seinäjoki,Julkinen,Kotihoito,Palvelu hankittiin toiselta palveluntuottajalta,Palvelu hankittiin toiselta palveluntuottajalta,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Ei,Ei,"20,70","18,93"
Seinäjoen kotihoito,Suomen Ensiapupalvelu Oy,Seinäjoki,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Useat (1/3-2/3 asiakkaista),Jatkuvasti,Ei,Kyllä,Kyllä,"14,90","12,37"
Pohjanmaan alue,Hoivapalvelu Anne Oy,Sievi,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Ei koskaan,Ei,Ei,Ei,"1,04","0,46"
Sievin kotihoito,Peruspalveluky Kallio,Sievi,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"23,00","17,86"
Kotihoito / Siikainen,Pohjois-Satakunnan peruspalvelu-liikelaitoskuntayhtymä,Siikainen,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"10,25","8,58"
Siikajoen kotihoito,Raahen seudun hyvinvointi-ky,Siikajoki,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Ei yhtäkään,Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Kyllä,Kyllä,"29,85","25,14"
Kestilän kotihoito,Sosiaali- ja terveyspiiri Helmi,Siikalatva,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"6,00","5,45"
Pulkkilan ja Piippolan kotihoito,Sosiaali- ja terveyspiiri Helmi,Siikalatva,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"19,00","17,05"
Rantsilan kotihoito,Sosiaali- ja terveyspiiri Helmi,Siikalatva,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Kyllä,Ei,Ei,"8,78","8,85"
Siilinjärven kotihoito,Siilinjärvi,Siilinjärvi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"43,00","39,17"
Siiliset,Med group Oy,Siilinjärvi,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Ei,"1,65","1,26"
Simon Kotihoito,Oulunkaaren ky,Simo,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Ei yhtäkään,Joskus,Ei,Ei,Ei,"18,02","15,64"
Kotihoito Pohjoinen,Sipoo,Sipoo,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Kyllä,Kyllä,Kyllä,"23,00","18,55"
Södra hemvård,Sipoo,Sipoo,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Kyllä,Kyllä,Kyllä,"21,80","17,21"
Osuuskunta Sompion Tähti,Osuuskunta Sompion Tähti,Sodankylä,Yksityinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Useat (1/3-2/3 asiakkaista),Lähes kaikki (vähintään 2/3 asiakkaista tai kaikki),Joskus,Ei,Ei,Ei,"6,05","1,74"
Someron kotihoito,Somero,Somero,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Usein,Ei,Ei,Ei,"42,50","32,45"
Kotihoito Sonkajärvi,Ylä-Savon SOTE,Sonkajärvi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Oma toimintayksikkömme tuotti palvelun yhdessä useamman saman palveluntuottajan toimintayksiköiden  kanssa,Joitakin (alle 1/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Joskus,Ei,Kyllä,Ei,"25,55","22,65"
Hoitopalvelu Jasmin,Hoitopalvelu Jasmin Avoin yhtiö,Sotkamo,Yksityinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Ei koskaan,Kyllä,Kyllä,Kyllä,"4,05","3,90"
Sotkamon kotihoito,Kainuun sosiaali- ja terveyskuntayhtymä,Sotkamo,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Ei,Ei,Kyllä,"56,25","41,14"
Kotisairaanhoito Sulkava,Itä-Savon sosteri,Sulkava,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"3,60","3,50"
Sulkavan avo-ja hoivapalvelu / kotipalvelu,Sulkava,Sulkava,Julkinen,Kotihoito,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Jokin toinen saman palveluntuottajan toimintayksikkö (esim. keskitetty tuottaja) tuotti palvelun,Useat (1/3-2/3 asiakkaista),Useat (1/3-2/3 asiakkaista),Usein,Kyllä,Ei,Ei,"13,35","9,23"
Suomussalmi kotihoito,Kainuun sosiaali- ja terveyskuntayhtymä,Suomussalmi,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"48,30","39,28"
Suonenjoen kotihoito,Suonenjoki,Suonenjoki,Julkinen,Kotihoito,Oma toimintayksikkömme tuotti palvelun,Oma toimintayksikkömme tuotti palvelun,Useat (1/3-2/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Joskus,Ei,Ei,Ei,"29,00","24,38"
Sysmän kotihoito,PHSOTEY / Aava,Sysmä,Julkinen,Kotihoito,Emme tarjoa palvelua,Emme tarjoa palvelua,Joitakin (alle 1/3 asiakkaista),Joitakin (alle 1/3 asiakkaista),Jatkuvasti,Ei,Ei,Ei,"21,83","18,57"
